q1_0,q1_1,q1_2,q1_3,q1_4,q1_5,q1_6,q1_7,q1_8,q1_9,q2,q3,q4,q5,q6,q7_0,q7_1,q7_2,q7_3,q7_4,q7_5,q7_6,q7_7,q7_8,q7_9,q7_10,q7_11,q7_12,q7_13,q7_14,q8,q9,q10,q11_0,q11_1,q11_2,q11_3,q11_4,q11_5,q11_6,q11_7,q12,q13,q14,q15,q16,q17_0_0,q17_0_1,q17_0_2,q17_0_3,q17_0_4,q17_0_5,q17_0_6,q17_1_0,q17_1_1,q17_1_2,q17_1_3,q17_1_4,q17_1_5,q17_1_6,q17_2_0,q17_2_1,q17_2_2,q17_2_3,q17_2_4,q17_2_5,q17_2_6,q17_3_0,q17_3_1,q17_3_2,q17_3_3,q17_3_4,q17_3_5,q17_3_6,q17_4_0,q17_4_1,q17_4_2,q17_4_3,q17_4_4,q17_4_5,q17_4_6,q17_5_0,q17_5_1,q17_5_2,q17_5_3,q17_5_4,q17_5_5,q17_5_6,q17_6_0,q17_6_1,q17_6_2,q17_6_3,q17_6_4,q17_6_5,q17_6_6,q17_7_0,q17_7_1,q17_7_2,q17_7_3,q17_7_4,q17_7_5,q17_7_6,year,gender,age,income,cosize,tenure,weight
0,4,1,5,1,6,8,4,10,2,1,5,,,,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,,,2,,,1,,,3,,2,3,3,2,,4,3,4,3,1,3,6,3,4,4,5,2,1,5,1,5,3,1,7,6,7,6,5,4,2,7,5,5,7,3,1,6,6,6,1,6,7,2,6,7,5,7,1,1,7,5,7,7,6,2,1,3,3,6,4,2,4,1,2,1,2,1,0.576077
1,9,8,3,9,1,3,1,9,4,1,4,,,,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,5,,,2,,,,1,,,,2,4,,,,6,3,5,1,2,3,7,6,7,7,6,2,3,5,2,2,1,6,2,4,3,4,1,6,6,2,2,3,3,6,2,6,5,5,1,1,2,3,7,4,5,4,5,3,1,7,3,7,2,7,3,4,4,2,5,6,4,2,3,1,3,1,0.76175
1,6,7,4,4,4,0,10,1,8,7,,,,,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,5,,,,,,,,,,,3,,,,,6,7,4,2,5,5,1,3,4,1,2,5,6,6,2,3,6,6,5,7,7,2,6,7,6,5,7,7,3,2,7,3,3,7,3,7,5,4,6,5,4,1,6,7,6,4,1,7,4,3,5,5,7,3,4,6,4,1,4,7,1,1,0.519086
8,4,4,4,1,4,0,0,3,10,2,3,,,,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,,,,1,3,,2,,4,,1,5,,,,1,6,1,7,1,2,6,2,4,6,6,4,7,2,3,1,6,4,7,5,2,5,2,3,5,7,4,2,5,4,5,7,1,4,2,2,1,6,5,7,2,7,6,2,1,2,2,5,5,6,5,3,5,6,6,4,4,1,2,4,6,4,1.193453
0,6,5,5,7,6,1,0,5,3,6,,,,,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,,,,,2,,,,,1,1,1,2,2,,4,1,3,1,3,5,4,3,6,6,1,6,3,3,1,3,2,2,4,5,1,4,6,4,7,1,5,2,7,5,2,5,6,3,6,5,1,3,2,3,5,5,4,1,5,7,5,5,6,4,7,7,5,3,3,1,4,1,2,6,4,1,0.605382
0,10,1,4,4,4,1,6,5,0,4,,,,,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,3,,,,1,,,,,,,3,,,,,4,3,2,4,6,3,7,7,3,4,5,6,6,6,6,7,7,7,6,3,4,7,6,2,6,6,6,6,3,1,1,4,7,5,2,1,4,2,2,3,6,1,6,3,4,6,2,7,4,4,6,7,7,7,2,6,4,1,3,5,3,4,0.906579
4,9,1,1,0,5,2,10,3,3,3,5,,,,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,4,,,,,,,,,,,2,3,2,2,,7,5,3,1,2,6,4,4,4,4,2,1,6,1,7,3,5,1,4,7,1,1,1,6,4,4,6,5,7,2,5,6,4,4,2,7,4,4,5,5,7,3,3,3,4,3,7,3,1,1,6,4,6,4,4,3,4,1,1,6,6,3,0.740878
5,4,5,8,5,1,1,1,10,1,7,,,,,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,6,6,,3,,1,,,2,,,2,1,3,2,,7,1,5,7,2,2,2,2,6,5,1,7,2,1,6,7,4,1,6,4,7,7,3,2,4,2,4,5,1,7,2,1,1,1,1,1,2,3,4,5,6,4,5,1,4,7,4,1,1,4,4,5,2,4,1,5,4,1,2,7,1,1,0.91551
5,0,10,4,6,7,6,5,9,10,4,,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,7,8,,,,,,,,,,4,,,,,6,3,7,7,1,7,5,1,3,3,5,1,7,6,5,3,7,4,4,6,3,7,4,7,7,1,7,5,5,7,1,4,6,1,2,3,4,2,2,5,4,7,1,6,6,1,1,1,6,7,4,7,3,5,7,6,4,2,5,5,2,2,1.128727
1,3,10,8,9,8,10,6,4,7,2,4,,,,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,5,,,,1,,2,3,4,,,2,4,,,,4,3,2,2,5,5,7,1,6,1,5,7,5,7,4,6,7,7,4,2,7,1,1,6,4,2,6,5,5,7,5,5,2,7,2,1,1,7,7,1,6,1,4,5,2,4,3,6,3,2,3,4,3,7,1,5,4,2,2,5,2,2,1.467151
5,2,6,9,1,8,3,10,10,1,3,2,2,2,,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,3,,,,1,,,,,,,3,,,,,2,5,6,6,3,7,1,6,3,3,4,1,7,1,2,2,2,2,7,5,4,2,7,5,7,4,3,3,7,5,2,1,1,4,4,5,2,7,2,6,4,7,4,6,2,5,5,2,6,5,7,4,4,4,5,4,4,1,4,6,4,3,0.878557
8,2,4,7,5,1,4,1,0,2,5,,,,,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,3,,,,,,,,,,,1,3,1,,,6,3,3,3,1,3,2,1,6,3,2,3,4,2,1,7,2,1,1,1,4,7,7,7,3,5,5,2,7,7,7,5,6,1,3,7,6,7,4,3,2,3,2,7,6,7,4,6,4,5,3,3,4,1,7,1,4,2,3,4,5,3,1.467449
10,4,2,7,9,7,10,4,4,3,5,,,,,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,6,10,,4,2,,3,,,5,1,1,7,,,,7,1,1,3,3,6,6,2,3,5,6,5,4,3,5,5,1,3,7,7,5,1,2,6,3,7,2,2,1,1,7,2,4,2,1,2,5,3,5,2,5,1,2,3,7,1,1,3,3,6,7,6,4,1,2,6,4,1,1,4,1,2,0.79313
6,3,8,5,0,6,4,9,7,6,1,2,1,,,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,7,1,1,,,,,1,,,,4,,,,,3,2,5,3,3,4,2,2,2,6,1,5,5,7,1,2,1,7,1,4,5,6,1,5,1,6,4,3,4,7,7,4,4,1,5,7,3,2,1,6,4,3,5,4,5,7,6,4,7,3,6,5,7,2,7,6,4,1,2,1,4,4,1.272267
1,3,0,6,9,2,1,9,10,10,2,3,,,,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,4,,,1,2,,,,,,,3,,,,,5,7,2,4,7,7,4,6,7,3,2,1,3,7,7,2,6,4,3,3,1,4,5,4,6,5,5,3,5,6,4,5,7,3,2,7,6,4,4,4,7,7,1,3,3,7,1,1,4,5,5,3,7,4,6,5,4,1,3,1,3,4,1.055693
2,2,10,8,9,6,10,3,9,1,7,,,,,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,10,12,,,,3,2,1,4,,5,3,,,,,4,2,2,1,5,4,5,6,1,5,6,5,5,7,4,5,1,4,7,3,5,3,7,3,7,5,5,1,7,3,7,6,3,5,1,7,1,1,2,2,4,4,6,5,2,3,2,4,7,6,2,6,1,5,7,7,4,2,2,7,2,2,0.50627
3,8,7,10,9,2,5,7,3,10,6,,,,,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,,,,,,5,2,3,4,1,1,4,,,,2,1,6,1,1,5,6,5,3,1,4,7,3,5,4,7,5,5,4,5,5,7,1,1,5,1,6,4,3,7,6,5,3,3,7,3,2,1,1,1,5,6,6,7,7,3,2,5,4,7,7,7,5,4,3,3,4,2,4,5,3,3,1.29158
8,2,9,7,1,8,9,8,6,2,1,1,3,1,3,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,4,,,,,,,,,,,4,,,,,6,3,3,1,4,5,6,5,3,3,5,1,1,5,3,3,6,4,7,5,7,6,2,2,3,2,7,6,4,1,1,7,3,4,1,4,2,6,6,5,3,4,5,2,7,1,5,3,1,4,2,4,5,3,2,2,4,1,2,6,1,2,1.352677
2,4,3,6,5,2,8,9,4,7,4,,,,,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,7,10,,,,,,,,,,3,,,,,5,1,5,5,4,5,4,6,4,7,2,6,4,7,2,7,2,6,6,2,4,5,6,2,4,4,5,1,7,3,3,6,3,1,5,2,2,7,4,6,2,1,4,2,4,2,2,5,5,6,7,6,7,5,4,4,4,2,2,2,3,3,1.198587
6,5,10,10,10,6,9,5,7,6,4,,,,,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,6,12,,2,,,1,,,,,3,,,,,4,2,7,4,6,2,1,2,6,1,3,6,2,3,6,5,4,2,2,1,6,1,1,2,3,7,3,5,6,6,5,7,3,7,7,4,6,1,5,4,6,1,5,5,2,2,3,1,7,6,5,5,5,3,5,5,4,2,1,3,2,2,0.656606
10,6,2,4,7,7,6,9,8,0,4,,,,,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,,,,,,,,,,,4,,,,,6,1,5,4,4,2,4,6,4,1,1,1,4,7,5,5,5,6,5,5,6,5,7,1,7,6,7,5,4,2,4,5,6,7,2,1,5,4,5,7,3,2,7,6,6,7,3,1,5,7,3,7,1,7,5,3,4,1,3,7,5,3,1.383432
7,8,6,10,6,3,8,4,1,4,6,,,,,0,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,,,,,,1,,2,,,3,,,,,3,3,2,3,6,3,4,2,3,1,2,1,6,4,5,7,2,1,3,7,1,3,4,6,5,5,6,7,1,6,3,2,7,1,2,5,2,6,2,5,5,3,6,3,3,4,7,3,7,1,6,3,7,3,6,1,4,1,1,2,4,3,0.923351
5,5,4,8,8,7,1,9,3,1,4,,,,,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,7,1,1,,,,,,,,,1,7,,,,4,3,7,3,2,3,3,3,2,4,5,6,1,7,1,3,3,6,2,7,1,1,3,4,1,7,3,3,5,6,5,1,7,2,4,3,2,4,2,2,6,4,6,3,5,4,3,1,6,3,7,2,2,4,3,7,4,2,1,4,6,1,1.484296
8,10,5,5,1,2,2,4,1,4,7,,,,,0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,5,,,1,,,,,,,,1,4,,,,2,2,4,1,1,4,3,2,2,3,6,6,1,4,1,6,6,4,1,1,4,2,2,7,2,2,7,5,1,4,4,4,1,1,2,2,4,1,1,2,7,1,7,1,7,4,1,5,4,3,3,4,7,6,4,4,4,2,1,2,5,2,0.992728
0,5,0,0,4,5,9,1,5,3,3,4,,,,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,,,,,,,,,,,3,,,,,2,6,3,2,7,6,7,2,4,4,4,3,1,3,7,4,6,6,6,1,6,5,3,3,6,6,3,6,1,5,1,4,1,3,5,1,4,3,1,1,3,5,5,7,4,3,3,7,4,6,6,4,4,5,1,2,4,2,1,7,6,1,0.602765
1,0,9,3,3,6,6,10,2,0,1,1,2,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,8,11,,2,,5,,4,,1,3,2,4,,,,1,2,5,3,2,6,1,4,7,6,1,4,7,3,4,2,1,1,4,7,7,1,2,4,1,5,6,2,2,1,5,5,6,5,1,3,1,3,3,5,5,7,1,5,3,4,4,7,6,4,4,4,3,6,3,6,4,1,3,4,4,2,0.705339
0,0,7,8,2,7,9,8,6,10,2,5,,,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,14,2,,,,,,,,,4,,,,,5,1,1,7,7,2,1,5,4,1,5,5,2,4,1,3,2,3,4,5,1,1,2,5,3,2,3,6,1,6,2,1,2,7,3,3,3,1,4,4,5,7,6,6,2,1,5,6,5,1,3,4,6,5,2,1,4,1,3,7,3,1,1.473057
7,5,10,6,4,6,8,1,3,9,2,3,,,,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,9,5,1,1,,3,5,2,,,4,3,,,,,5,1,7,5,5,1,3,6,6,7,4,5,7,1,3,1,6,6,7,1,2,6,5,4,6,7,1,3,6,1,3,4,6,7,1,3,7,6,3,7,3,7,3,6,4,4,7,2,4,4,1,6,5,5,3,4,4,1,1,6,5,3,1.108464
9,9,10,4,10,8,1,0,7,0,1,2,1,,,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,6,12,,,,,,,,,,3,,,,,6,1,4,1,6,2,5,4,5,3,4,2,2,1,5,7,7,3,4,7,6,6,2,4,6,5,3,6,1,3,3,7,1,6,2,1,3,4,5,1,3,5,1,1,3,6,6,3,3,3,4,2,2,6,5,6,4,2,4,1,4,2,1.352733
7,9,7,7,3,9,10,8,10,10,1,2,1,,,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,,,,,,,,,,,3,,,,,4,4,2,1,1,6,2,7,1,4,6,2,1,7,3,2,1,3,4,2,3,3,5,1,4,6,1,1,6,2,1,6,1,5,6,1,3,7,6,2,5,7,7,4,3,2,4,7,7,6,3,6,1,5,6,2,4,1,1,1,2,2,1.46612
1,1,3,1,6,0,1,5,0,3,4,,,,,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,7,7,,4,1,5,,,3,,2,2,3,3,2,,6,3,2,1,6,6,6,1,4,5,6,5,6,4,1,2,6,4,3,5,7,5,6,7,5,4,2,2,7,1,4,7,7,1,3,6,5,6,3,7,2,2,1,5,6,2,1,6,2,2,5,3,1,2,7,2,4,1,1,1,1,1,1.124873
8,7,2,9,10,0,8,1,8,9,7,,,,,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,2,,,,,,,,,1,,4,,,,,7,3,5,3,7,7,3,1,5,6,3,4,1,7,4,6,1,2,6,5,7,3,6,5,1,6,4,7,7,4,3,3,5,7,2,1,1,2,2,2,4,5,5,7,2,4,2,6,7,3,2,1,4,1,1,7,4,2,5,6,4,1,1.311184
1,4,7,8,2,8,8,2,5,4,6,,,,,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,3,,,,,1,,,,,,3,,,,,6,3,7,2,4,5,4,5,1,2,4,5,6,6,1,4,4,4,7,7,3,1,2,7,1,6,2,3,3,4,5,2,1,7,4,6,2,3,5,2,5,7,4,7,2,4,6,5,3,1,4,1,1,6,7,4,4,2,5,3,6,1,0.893715
4,10,4,8,1,1,0,9,10,6,6,,,,,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,4,,,,,,,,,,,1,2,2,2,,6,1,7,4,1,2,5,1,1,2,4,1,5,5,3,6,5,3,6,4,1,3,1,6,2,7,6,3,4,7,5,5,6,3,6,7,6,5,6,1,4,5,7,3,5,2,1,7,1,4,4,6,2,1,7,3,4,1,1,2,3,4,0.560083
9,2,8,5,0,6,10,5,7,5,3,2,3,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,4,,,2,5,,4,,3,,1,2,5,,,,2,4,4,5,2,7,4,4,1,4,7,6,1,4,4,3,7,3,5,3,7,6,2,2,6,6,4,5,7,4,1,2,7,2,6,2,7,2,4,3,3,5,4,6,3,4,2,6,7,1,4,5,1,6,7,6,4,1,5,4,1,3,1.268401
9,6,1,4,8,6,6,3,1,8,7,,,,,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,7,12,,,2,1,,,,,3,4,,,,,5,5,1,5,1,5,2,3,6,6,6,6,6,3,2,3,2,1,3,2,6,5,1,7,1,2,6,7,5,1,6,1,6,7,6,4,3,6,3,6,6,5,4,1,5,1,6,1,6,6,7,6,4,7,5,4,4,2,1,6,3,4,0.690944
4,7,2,1,6,10,10,9,8,2,1,5,,,,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,5,,,,,4,,2,1,3,,2,2,2,2,,5,7,3,7,2,1,3,4,2,5,3,4,6,1,2,5,2,6,6,3,7,3,3,4,2,3,6,2,6,4,6,7,7,1,6,5,2,4,6,3,7,4,6,6,2,3,2,2,3,1,2,3,3,6,1,3,4,1,3,3,2,2,1.10132
3,7,7,7,3,6,9,1,4,10,5,,,,,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,9,8,,,,,,,,,,3,,,,,6,2,3,5,3,1,3,2,4,4,1,4,3,2,5,7,2,1,2,6,5,2,3,3,3,4,3,1,6,5,2,6,2,6,7,5,5,6,6,4,3,4,7,2,5,3,2,4,6,2,4,2,6,7,2,4,4,2,4,2,6,4,1.301071
9,0,5,10,10,5,10,9,8,8,3,4,,,,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,6,11,,1,,,,,,,,1,1,1,,,6,6,5,7,3,7,4,5,3,2,1,7,4,6,7,5,1,1,5,6,3,7,1,1,6,3,5,7,2,7,5,3,3,3,4,6,1,5,7,5,7,2,2,5,2,7,2,2,7,3,6,3,3,6,1,3,4,1,1,7,2,1,1.246717
5,0,2,2,0,10,2,5,1,1,4,,,,,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,9,7,,,,,1,,,2,,2,6,,,,7,6,3,7,1,1,7,4,2,4,3,5,3,1,1,5,6,7,3,6,7,4,1,1,2,6,6,4,5,1,7,3,3,7,3,4,7,6,1,2,6,6,7,6,6,4,1,7,4,5,2,1,1,4,4,6,4,1,2,2,2,2,0.571752
6,1,7,2,2,7,3,2,1,10,5,,,,,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,3,,,,,,,,,,,1,3,2,2,,5,7,1,7,1,7,3,7,3,4,3,7,7,2,1,6,4,1,3,6,3,5,6,5,5,3,7,7,4,5,6,2,4,2,6,4,7,4,2,7,4,1,3,4,4,6,4,1,2,1,5,4,5,2,3,1,4,1,4,4,2,2,1.141434
1,10,4,5,8,4,10,7,2,9,2,4,,,,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,6,10,,,,,,,,,,2,5,,,,1,3,4,7,4,6,4,6,3,1,3,5,2,4,7,1,5,3,7,3,4,4,6,3,3,3,6,6,2,1,1,4,3,5,2,3,2,2,6,4,3,1,4,7,3,4,5,4,7,3,5,2,6,4,4,1,4,2,3,3,6,2,0.996988
8,3,2,1,4,6,9,10,10,2,5,,,,,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,5,,,,,,,,,,,4,,,,,5,4,6,2,2,1,4,1,3,1,4,5,4,5,5,7,1,7,5,1,7,1,3,4,7,4,1,3,3,3,5,5,1,5,2,2,7,3,4,6,7,3,2,7,5,4,3,6,1,3,1,3,1,4,3,5,4,2,5,7,3,2,1.233031
6,9,8,5,1,3,1,5,2,10,6,,,,,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,7,6,,1,,,,,,,,4,,,,,3,3,4,3,1,6,3,3,6,7,2,3,1,7,2,2,7,7,4,7,6,4,2,4,3,6,3,3,4,4,3,5,6,4,3,2,4,3,4,4,1,6,3,6,3,1,6,4,7,2,6,6,3,3,3,4,4,1,5,6,3,3,1.149433
10,8,8,8,7,3,0,0,8,1,3,1,3,1,7,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,9,14,1,4,,1,,,,3,2,3,,,,,3,5,7,1,3,1,2,5,2,6,1,5,1,4,7,6,5,3,6,4,7,2,5,2,6,3,1,6,4,4,3,5,1,3,6,3,6,6,3,6,2,2,3,2,4,3,6,2,5,2,4,6,2,6,1,4,4,2,3,2,1,4,1.002371
3,10,4,2,4,8,2,3,3,1,2,3,,,,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,5,,,,,,,,,,,2,7,,,,7,1,7,3,1,3,6,3,5,1,3,5,4,5,1,3,7,2,1,6,2,6,4,5,3,4,3,5,5,2,6,2,2,7,6,7,3,6,7,4,2,1,3,5,1,7,5,5,7,6,7,1,1,4,6,7,4,2,4,7,6,4,0.510194
8,1,6,2,5,2,10,10,5,0,4,,,,,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,,,,,,,,,,,4,,,,,4,7,1,3,5,5,3,6,2,2,4,6,4,4,7,6,6,5,1,1,6,5,4,4,4,1,4,2,1,3,5,1,7,3,6,4,2,5,1,1,2,6,2,2,3,5,2,6,7,5,3,1,7,5,7,4,4,1,5,6,2,3,1.288773
8,2,5,0,2,8,2,5,1,9,6,,,,,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,4,,,,,,,,,,,4,,,,,7,1,5,2,2,2,7,4,6,6,1,7,2,7,3,7,5,4,3,3,7,6,4,2,5,1,4,2,4,4,6,3,2,6,2,1,4,1,3,6,2,3,4,1,4,2,4,5,1,2,5,5,4,6,7,7,4,2,1,1,6,4,1.294397
10,3,0,1,10,3,7,6,3,7,3,5,,,,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,6,1,1,3,2,1,,4,,5,,4,,,,,2,3,6,3,3,4,3,2,4,1,7,4,1,3,6,7,5,3,6,6,2,4,2,4,3,3,6,6,6,1,1,5,5,6,1,6,4,5,1,1,1,6,4,1,7,4,3,5,2,6,3,5,2,6,5,5,4,2,2,6,2,2,0.853447
4,6,2,2,2,4,5,5,8,6,1,4,,,,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,2,,,,1,,,2,3,,,3,,,,,7,7,6,5,5,6,3,5,1,5,1,7,5,5,2,1,2,2,3,4,7,1,6,5,3,1,7,6,3,6,7,3,5,2,1,6,4,4,1,7,3,6,1,5,5,7,2,1,4,5,7,2,5,1,4,6,4,1,4,7,5,4,0.990218
8,0,10,7,7,10,1,5,2,0,3,2,2,1,8,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,8,7,,1,,4,3,,2,,5,1,7,,,,3,7,6,3,6,3,3,3,3,6,3,5,4,6,1,7,3,5,1,3,7,7,5,6,1,5,4,4,1,6,1,4,2,2,7,2,7,3,5,5,2,4,5,3,7,2,7,3,2,5,2,7,7,4,6,2,4,2,4,3,2,1,0.854342
